ID,Plateforme,Type,Auteur,Date,Annee_estimee,Commentaire,Langue,Sentiment,Sujet,Suggestion
1,Google Maps,Client,faica faical,il y a 6 ans,2020.0,"Les pires services du pays (poste Maroc et albarid bank)
- manque de respect en agence
- perte du temps en attente …",Francais,Negatif,Temps d'attente,Reduire le temps d'attente en renforcant les effectifs aux heures de forte affluence.
2,Google Maps,Client,Ali Ali,il y a un an,,"Mauvaise expérience sur l'agence. Un seul chargé de caisse qui a besoin de plus de cinq minutes pour traiter un seul service avec un seul client.
Trop de temps perdu pour rendre un service simple.
Service de très mauvaise qualité",Francais,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
3,Google Maps,Client,MASTARI Abdessalam,il y a 11 mois,2026.0,"Une seule personne pour traiter 200 personnes avec 4 guichet vides , une personne qui au lieu de travailler va déranger  la seule personne en activité sur cette agence. Une autre personne sur barid esign à rien faire au lieu d’aider sur les autres opérations…",Francais,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
4,Google Maps,Client,Jamal Eddine El Ouizgani,Modifié il y a 2 mois,2026.0,لا قيمة للوقت في هذه الوكالة البطيئة,Arabe,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
5,Google Maps,Client,yasmine Lahmidi,il y a 3 mois,2026.0,Responsable qui ne veut pas travailler il vous ignore honteux,Francais,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
6,Google Maps,Client,Mohammed Kachkouch Soussi,il y a 4 ans,2022.0,"Avec tout mon respect à ABB et ses employés, les services de cette agence est très médiocre.
La performance des guichets tend vers 0 on se dirait dans une cimetière pour 20 …",Francais,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
7,Google Maps,Client,raouya rhoulam (“R”),il y a 2 ans,2024.0,"Très mauvaise expérience, service très lent. Employés qui prennent une pause déjeuner de 1h30 tranquillement alors que les clients attendent, et un manque de respect indiscutable. Faut revoir les choses un peu … c’est décevant vraiment",Francais,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
8,Google Maps,Client,Ghita Britel,il y a un an,,"Service déplaisant, aucune prise en charge, personnel désagréable. Je ne recommande vraiment mais vraiment pas cette banque ! Très très décevant",Francais,Negatif,Personnel,Renforcer la formation des agents en relation client et ameliorer la qualite de l'accueil.
9,Google Maps,Client,Yang Lu,il y a un an,,"Personnel du siège disponible et très accueillant (accueil et pôle philatélie). La boutique philatélie, toujours visible au RdC du bâtiment, est transférée au Musée Barid Al-Maghrib, à côté de la poste principale Rabat RP.",Francais,Positif,Personnel,Maintenir ce niveau de qualite afin de preserver la satisfaction des clients.
10,Google Maps,Client,Driss Bono,il y a 2 ans,2024.0,"Au siège de l'agence rue My  Smail Rabat, aussi bien Sce barid bank que celui des envois de courriers, tout impeccable.
Hier mardi 11.12. j'ai envoyé un courrier via AMANA pour Tanger vers 13 h, bien arrivé le lendemain 12h23. Merci agence My Smail et son personnel.",Francais,Positif,Personnel,Maintenir ce niveau de qualite afin de preserver la satisfaction des clients.
11,Google Maps,Client,Mawal Lotfi,il y a 2 ans,2024.0,أسوء إدارة ممكن أن تتصورها في حياتك ، فقط سيدة واحدة من تخدم الزبناء و يلزمك نصف يوم لكي يأتي دورك.... المديرة و المسؤولة الإدارية لا يكترتان لشكاية الناس ......لا مراقبة و لا محاسبة و لا أدنى إعتبار للمواطنين .....مبنى ضخم مكتظ بالزبناء و موظفة واحدة هي من تعاني...... مدراء يقهقهون من الضحك في مكاتبهم و لك الله يا مواطن,Arabe,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
12,Google Maps,Client,Badr Boun,il y a 3 ans,2023.0,"Pire service de poste au maroc. Un seul argent pour traiter les demandes de disaine de clients, attente interminable et Sens du service zero. Dieu merci j'ai clôturé mon compte chez eux.",Francais,Positif,Temps d'attente,Maintenir ce niveau de qualite afin de preserver la satisfaction des clients.
13,Google Maps,Client,Med EL Bouazzaouy,il y a 3 ans,2023.0,يفكر المسؤولين عليها كانسان من عهد الحجري لا تطوير في الخدة او موقع او اي شى مزال عندهم من عهد الحجري الا تعرفون شى اسمه التطوير الخدمات وعمل البريد المغرب اما فرعكم casa cci كارثي السلعة تبقى عندهم شهر او شهرين حتى تتحرك بريد المغرب يجب ان يحل او ان يقال مسؤولين عليه وتعوضهم بشباب يردون تطوير هذا الفطاع,Arabe,Negatif,Livraison,Ameliorer le suivi des colis et informer les clients en cas de retard.
14,Google Maps,Client,Amina Loudiyi,il y a 11 mois,2026.0,Une file d'attente de 20 personnes et un seul guichet fonctionnel.,Francais,Negatif,Temps d'attente,Reduire le temps d'attente en renforcant les effectifs aux heures de forte affluence.
15,Google Maps,Client,rim rim,il y a 4 ans,2022.0,الحمدالله مازال بحال هاد الخدمات فبلادنا . كتر من عامين و انا كنبعت ارساليات دائما كتوصل فالوقت . و شكرا لناس فمركز الاتصال على الارشادات ديالهم و حسن الاستقبال .,Arabe,Positif,Autre,Maintenir ce niveau de qualite afin de preserver la satisfaction des clients.
16,Google Maps,Client,MAATAOUI Nourelhouda,il y a 3 ans,2023.0,"Le pire service que jai jamais vu! Un seul agent qui traite toutes les demandes, personnel avec 0 professionnalisme! Nul",Francais,Negatif,Personnel,Renforcer la formation des agents en relation client et ameliorer la qualite de l'accueil.
17,Google Maps,Client,Rakid,il y a 2 ans,2024.0,Un endroit bien équipée de toute les nécessités que doit avoir une telle administration,Francais,Positif,Autre,Maintenir ce niveau de qualite afin de preserver la satisfaction des clients.
18,Google Maps,Client,Adnane Bendahmane,il y a 2 ans,2024.0,Un mauvais service les agents qui travaillent respect pas les clients pour moi une mauvaise expérience.,Francais,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
19,Google Maps,Client,M'hammed MOHSINE,il y a 3 mois,2026.0,pas de réponse au téléphone,Francais,Negatif,Autre,Analyser ce commentaire afin d'identifier une action corrective.
20,Google Maps,Client,Zakaria Yas,il y a 4 ans,2022.0,Rythme de travail du personnel extrêmement au ralenti et très peu de personnes pour un grand nombre de clients,Francais,Negatif,Personnel,Renforcer la formation des agents en relation client et ameliorer la qualite de l'accueil.
21,Google Maps,Client,saghani imane,il y a un an,,والي مسؤول على التلفون الله يعطيك الصمك,Arabe,Positif,Autre,Maintenir ce niveau de qualite afin de preserver la satisfaction des clients.
